mkdir: cannot create directory `/scratch/077-hpca4se-bioinf/jlenis/results/GEM-Localalloc': File exists
2016/9/30 19:17:38 -- # 2900000 sequences processed
2016/9/30 19:17:38 -- # 3000000 sequences processed
2016/9/30 19:17:38 -- # 3100000 sequences processed
2016/9/30 19:17:39 -- # 3200000 sequences processed
2016/9/30 19:17:44 -- # 3300000 sequences processed
2016/9/30 19:17:44 -- # 3400000 sequences processed
2016/9/30 19:17:44 -- # 3500000 sequences processed
2016/9/30 19:17:44 -- # 3600000 sequences processed
2016/9/30 19:17:44 -- # 3700000 sequences processed
2016/9/30 19:17:44 -- # 3800000 sequences processed
2016/9/30 19:17:44 -- # 3900000 sequences processed
2016/9/30 19:17:44 -- # 4000000 sequences processed
2016/9/30 19:17:49 -- # 4100000 sequences processed
2016/9/30 19:17:49 -- # 4200000 sequences processed
2016/9/30 19:17:49 -- # 4300000 sequences processed
2016/9/30 19:17:49 -- # 4400000 sequences processed
2016/9/30 19:17:49 -- # 4500000 sequences processed
2016/9/30 19:17:49 -- # 4600000 sequences processed
2016/9/30 19:17:49 -- # 4700000 sequences processed
2016/9/30 19:17:50 -- # 4800000 sequences processed
2016/9/30 19:17:55 -- # 4900000 sequences processed
2016/9/30 19:17:55 -- # 5000000 sequences processed
2016/9/30 19:17:55 -- # 5100000 sequences processed
2016/9/30 19:17:55 -- # 5200000 sequences processed
2016/9/30 19:17:55 -- # 5300000 sequences processed
2016/9/30 19:17:55 -- # 5400000 sequences processed
2016/9/30 19:17:55 -- # 5500000 sequences processed
2016/9/30 19:17:56 -- # 5600000 sequences processed
2016/9/30 19:18:00 -- # 5700000 sequences processed
2016/9/30 19:18:00 -- # 5800000 sequences processed
2016/9/30 19:18:00 -- # 5900000 sequences processed
2016/9/30 19:18:00 -- # 6000000 sequences processed
2016/9/30 19:18:00 -- # 6100000 sequences processed
2016/9/30 19:18:00 -- # 6200000 sequences processed
2016/9/30 19:18:00 -- # 6300000 sequences processed
2016/9/30 19:18:01 -- # 6400000 sequences processed
2016/9/30 19:18:06 -- # 6500000 sequences processed
2016/9/30 19:18:06 -- # 6600000 sequences processed
2016/9/30 19:18:06 -- # 6700000 sequences processed
2016/9/30 19:18:06 -- # 6800000 sequences processed
2016/9/30 19:18:06 -- # 6900000 sequences processed
2016/9/30 19:18:06 -- # 7000000 sequences processed
2016/9/30 19:18:06 -- # 7100000 sequences processed
2016/9/30 19:18:07 -- # 7200000 sequences processed
2016/9/30 19:18:12 -- # 7300000 sequences processed
2016/9/30 19:18:12 -- # 7400000 sequences processed
2016/9/30 19:18:12 -- # 7500000 sequences processed
2016/9/30 19:18:12 -- # 7600000 sequences processed
2016/9/30 19:18:12 -- # 7700000 sequences processed
2016/9/30 19:18:12 -- # 7800000 sequences processed
2016/9/30 19:18:12 -- # 7900000 sequences processed
2016/9/30 19:18:13 -- # 8000000 sequences processed
2016/9/30 19:18:18 -- # 8100000 sequences processed
2016/9/30 19:18:18 -- # 8200000 sequences processed
2016/9/30 19:18:18 -- # 8300000 sequences processed
2016/9/30 19:18:18 -- # 8400000 sequences processed
2016/9/30 19:18:18 -- # 8500000 sequences processed
2016/9/30 19:18:18 -- # 8600000 sequences processed
2016/9/30 19:18:18 -- # 8700000 sequences processed
2016/9/30 19:18:19 -- # 8800000 sequences processed
2016/9/30 19:18:24 -- # 8900000 sequences processed
2016/9/30 19:18:24 -- # 9000000 sequences processed
2016/9/30 19:18:24 -- # 9100000 sequences processed
2016/9/30 19:18:24 -- # 9200000 sequences processed
2016/9/30 19:18:24 -- # 9300000 sequences processed
2016/9/30 19:18:24 -- # 9400000 sequences processed
2016/9/30 19:18:24 -- # 9500000 sequences processed
2016/9/30 19:18:25 -- # 9600000 sequences processed
2016/9/30 19:18:30 -- # 9700000 sequences processed
2016/9/30 19:18:30 -- # 9800000 sequences processed
2016/9/30 19:18:30 -- # 9900000 sequences processed
2016/9/30 19:18:30 -- # 10000000 sequences processed
2016/9/30 19:18:30 -- # 10100000 sequences processed
2016/9/30 19:18:30 -- # 10200000 sequences processed
2016/9/30 19:18:30 -- # 10300000 sequences processed
2016/9/30 19:18:31 -- # 10400000 sequences processed
2016/9/30 19:18:36 -- # 10500000 sequences processed
2016/9/30 19:18:36 -- # 10600000 sequences processed
2016/9/30 19:18:36 -- # 10700000 sequences processed
2016/9/30 19:18:36 -- # 10800000 sequences processed
2016/9/30 19:18:36 -- # 10900000 sequences processed
2016/9/30 19:18:36 -- # 11000000 sequences processed
2016/9/30 19:18:36 -- # 11100000 sequences processed
2016/9/30 19:18:37 -- # 11200000 sequences processed
2016/9/30 19:18:42 -- # 11300000 sequences processed
2016/9/30 19:18:42 -- # 11400000 sequences processed
2016/9/30 19:18:42 -- # 11500000 sequences processed
2016/9/30 19:18:42 -- # 11600000 sequences processed
2016/9/30 19:18:42 -- # 11700000 sequences processed
2016/9/30 19:18:42 -- # 11800000 sequences processed
2016/9/30 19:18:42 -- # 11900000 sequences processed
2016/9/30 19:18:42 -- Total 11945249 sequences processed... done
2016/9/30 19:18:43 -- [GEMMapper terminated successfully in 89s. (+11s. loading)]


 Performance counter stats for 'numactl --localalloc --physcpubind=0,4,8,12,16,20,24,28 bin/gem-mapper -t 8 -I /tmp/data/indexes/HG_index_GEM/index.gem -i /tmp/data/datasets/gcat_set_039_1.fastq -o /scratch/077-hpca4se-bioinf/jlenis/results/GEM-Localalloc/2595740.GEM-Localalloc.penguin.t8.sam':

S0       16         4189182608 cache-misses                                                  (15.73%)
S0       16      1593643668890 cycles                    #    0.000 GHz                      (20.98%)
S0       16      2601755224080 instructions              #   102.51  insns per cycle        
                                             #    0.01  stalled cycles per insn  (25.81%)
S0       16              31390 cs                                                            (100.00%)
S0       16                 63 migrations                                                    (100.00%)
S0       16              86128 faults                                                      
S0       16        67443094802 bus-cycles                                                    (27.18%)
S0       16      2150983202319 idle-cycles-frontend      #  8475.12% frontend cycles idle     (27.69%)
S0       16      1801056904330 idle-cycles-backend       #  7096.37% backend  cycles idle     (28.82%)
S0       16       656131547295 L1-dcache-loads                                               (29.09%)
S0       16        13506562048 L1-dcache-load-misses     #  130.78% of all L1-dcache hits    (19.87%)
S0       16       264167031043 L1-dcache-stores                                              (19.10%)
S0       16         6163588623 L1-dcache-store-misses                                        (18.78%)
S0       16         5087129107 L1-dcache-prefetch-misses                                     (17.85%)
S0       16         6280684160 L1-icache-load-misses                                         (17.38%)
S0       16         6225772587 LLC-loads                                                     (17.30%)
S0       16         1036934489 LLC-stores                                                    (16.79%)
S0       16         1321603622 LLC-prefetches                                                (7.98%)
S0       16       759004200314 dTLB-loads                                                    (12.05%)
S0       16         2104217934 dTLB-load-misses          #   17.63% of all dTLB cache hits   (15.92%)
S0       16       300370225234 dTLB-stores                                                   (16.20%)
S0       16           82232879 dTLB-store-misses                                             (16.55%)
S0       16           43385717 iTLB-loads                                                    (16.50%)
S0       16           14779998 iTLB-load-misses          #  1949.32% of all iTLB cache hits   (16.28%)
S0       16       262464487392 branch-loads                                                  (15.64%)
S0       16         4523823920 branch-load-misses                                            (15.15%)
S1       16           26469010 cache-misses                                                  (16.71%)
S1       16        12218378645 cycles                    #    0.000 GHz                      (21.68%)
S1       16         5984611661 instructions              #    0.00  insns per cycle          (26.47%)
S1       16              19303 cs                                                            (100.00%)
S1       16                 93 migrations                                                    (100.00%)
S1       16               6496 faults                                                      
S1       16          984234671 bus-cycles                                                    (27.99%)
S1       16        17286918483 idle-cycles-frontend      #    0.00% frontend cycles idle     (27.68%)
S1       16        15053143614 idle-cycles-backend       #    0.00% backend  cycles idle     (27.87%)
S1       16         1803551625 L1-dcache-loads                                               (27.99%)
S1       16          149838731 L1-dcache-load-misses                                         (20.06%)
S1       16         1236493436 L1-dcache-stores                                              (19.41%)
S1       16           24426412 L1-dcache-store-misses                                        (19.41%)
S1       16           45917320 L1-dcache-prefetch-misses                                     (18.96%)
S1       16           90452498 L1-icache-load-misses                                         (18.00%)
S1       16           82747858 LLC-loads                                                     (17.43%)
S1       16           11869675 LLC-stores                                                    (17.08%)
S1       16           31649756 LLC-prefetches                                                (8.41%)
S1       16         1443061770 dTLB-loads                                                    (12.13%)
S1       16           41134621 dTLB-load-misses                                              (16.01%)
S1       16          891847418 dTLB-stores                                                   (16.09%)
S1       16            4613277 dTLB-store-misses                                             (15.79%)
S1       16            2128000 iTLB-loads                                                    (15.27%)
S1       16            1858332 iTLB-load-misses                                              (15.72%)
S1       16         1208385068 branch-loads                                                  (14.88%)
S1       16           19977963 branch-load-misses                                            (15.50%)
S2       16           16483363 cache-misses                                                  (16.37%)
S2       16         6703035613 cycles                    #    0.000 GHz                      (21.91%)
S2       16         2811268503 instructions              #    0.00  insns per cycle          (26.79%)
S2       16              33866 cs                                                            (100.00%)
S2       16                220 migrations                                                    (100.00%)
S2       16               7833 faults                                                      
S2       16          555759176 bus-cycles                                                    (27.54%)
S2       16        13051403379 idle-cycles-frontend      #    0.00% frontend cycles idle     (27.24%)
S2       16        12896398247 idle-cycles-backend       #    0.00% backend  cycles idle     (28.52%)
S2       16         1057783904 L1-dcache-loads                                               (28.10%)
S2       16          105122612 L1-dcache-load-misses                                         (18.12%)
S2       16          979433242 L1-dcache-stores                                              (17.78%)
S2       16           13455459 L1-dcache-store-misses                                        (16.53%)
S2       16           23836698 L1-dcache-prefetch-misses                                     (17.20%)
S2       16           53115406 L1-icache-load-misses                                         (17.64%)
S2       16           63596923 LLC-loads                                                     (17.61%)
S2       16            6543146 LLC-stores                                                    (18.41%)
S2       16           13228210 LLC-prefetches                                                (9.01%)
S2       16         1546077101 dTLB-loads                                                    (13.03%)
S2       16           30843821 dTLB-load-misses                                              (16.17%)
S2       16          881766265 dTLB-stores                                                   (16.32%)
S2       16            3633668 dTLB-store-misses                                             (16.33%)
S2       16             534165 iTLB-loads                                                    (16.57%)
S2       16             977643 iTLB-load-misses                                              (17.19%)
S2       16          606642534 branch-loads                                                  (16.51%)
S2       16           16237822 branch-load-misses                                            (16.06%)
S3       16           25799024 cache-misses                                                  (15.86%)
S3       16        11752510311 cycles                    #    0.000 GHz                      (20.77%)
S3       16         6422626849 instructions              #    0.00  insns per cycle          (25.91%)
S3       16              23795 cs                                                            (100.00%)
S3       16                201 migrations                                                    (100.00%)
S3       16               9993 faults                                                      
S3       16          873375980 bus-cycles                                                    (27.41%)
S3       16        14369219151 idle-cycles-frontend      #    0.00% frontend cycles idle     (28.56%)
S3       16        12834653334 idle-cycles-backend       #    0.00% backend  cycles idle     (29.92%)
S3       16         1962526785 L1-dcache-loads                                               (29.43%)
S3       16          205442259 L1-dcache-load-misses                                         (18.67%)
S3       16         1290864948 L1-dcache-stores                                              (18.80%)
S3       16           33750778 L1-dcache-store-misses                                        (18.09%)
S3       16           76712596 L1-dcache-prefetch-misses                                     (17.69%)
S3       16          186873536 L1-icache-load-misses                                         (17.28%)
S3       16          100292187 LLC-loads                                                     (16.45%)
S3       16           10320258 LLC-stores                                                    (16.21%)
S3       16           41312006 LLC-prefetches                                                (8.01%)
S3       16         1899286079 dTLB-loads                                                    (12.16%)
S3       16           42318449 dTLB-load-misses                                              (16.59%)
S3       16         1064361578 dTLB-stores                                                   (17.12%)
S3       16            5334451 dTLB-store-misses                                             (16.97%)
S3       16            2477766 iTLB-loads                                                    (16.74%)
S3       16            2308709 iTLB-load-misses                                              (16.27%)
S3       16         1565697380 branch-loads                                                  (15.10%)
S3       16           35524536 branch-load-misses                                            (14.83%)

     100.657511625 seconds time elapsed

#################################################################
# Test multi-threading - 16 threads - T3
#################################################################
2595740.GEM-Localalloc.penguin.t16
2016/9/30 19:18:43 -- [Opening input file '/tmp/data/datasets/gcat_set_039_1.fastq']
2016/9/30 19:18:43 -- [Outputting to '/scratch/077-hpca4se-bioinf/jlenis/results/GEM-Localalloc/2595740.GEM-Localalloc.penguin.t16.sam']
2016/9/30 19:18:43 -- [Loading GEM index '/tmp/data/indexes/HG_index_GEM/index.gem']
2016/9/30 19:18:54 -- [SE::Mapping Sequences]
2016/9/30 19:19:03 -- # 100000 sequences processed
2016/9/30 19:19:03 -- # 200000 sequences processed
2016/9/30 19:19:03 -- # 300000 sequences processed
2016/9/30 19:19:03 -- # 400000 sequences processed
2016/9/30 19:19:03 -- # 500000 sequences processed
2016/9/30 19:19:03 -- # 600000 sequences processed
2016/9/30 19:19:03 -- # 700000 sequences processed
2016/9/30 19:19:04 -- # 800000 sequences processed
2016/9/30 19:19:04 -- # 900000 sequences processed
2016/9/30 19:19:04 -- # 1000000 sequences processed
2016/9/30 19:19:04 -- # 1100000 sequences processed
2016/9/30 19:19:04 -- # 1200000 sequences processed
2016/9/30 19:19:04 -- # 1300000 sequences processed
2016/9/30 19:19:04 -- # 1400000 sequences processed
2016/9/30 19:19:07 -- # 1500000 sequences processed
2016/9/30 19:19:07 -- # 1600000 sequences processed
2016/9/30 19:19:09 -- # 1700000 sequences processed
2016/9/30 19:19:09 -- # 1800000 sequences processed
2016/9/30 19:19:09 -- # 1900000 sequences processed
2016/9/30 19:19:09 -- # 2000000 sequences processed
2016/9/30 19:19:10 -- # 2100000 sequences processed
2016/9/30 19:19:10 -- # 2200000 sequences processed
2016/9/30 19:19:11 -- # 2300000 sequences processed
2016/9/30 19:19:11 -- # 2400000 sequences processed
2016/9/30 19:19:11 -- # 2500000 sequences processed
2016/9/30 19:19:11 -- # 2600000 sequences processed
2016/9/30 19:19:11 -- # 2700000 sequences processed
2016/9/30 19:19:11 -- # 2800000 sequences processed
2016/9/30 19:19:11 -- # 2900000 sequences processed
2016/9/30 19:19:13 -- # 3000000 sequences processed
2016/9/30 19:19:15 -- # 3100000 sequences processed
2016/9/30 19:19:15 -- # 3200000 sequences processed
2016/9/30 19:19:16 -- # 3300000 sequences processed
2016/9/30 19:19:16 -- # 3400000 sequences processed
2016/9/30 19:19:16 -- # 3500000 sequences processed
2016/9/30 19:19:16 -- # 3600000 sequences processed
2016/9/30 19:19:17 -- # 3700000 sequences processed
2016/9/30 19:19:18 -- # 3800000 sequences processed
2016/9/30 19:19:18 -- # 3900000 sequences processed
2016/9/30 19:19:18 -- # 4000000 sequences processed
2016/9/30 19:19:18 -- # 4100000 sequences processed
2016/9/30 19:19:18 -- # 4200000 sequences processed
2016/9/30 19:19:18 -- # 4300000 sequences processed
2016/9/30 19:19:18 -- # 4400000 sequences processed
2016/9/30 19:19:20 -- # 4500000 sequences processed
2016/9/30 19:19:21 -- # 4600000 sequences processed
2016/9/30 19:19:22 -- # 4700000 sequences processed
2016/9/30 19:19:22 -- # 4800000 sequences processed
2016/9/30 19:19:22 -- # 4900000 sequences processed
2016/9/30 19:19:22 -- # 5000000 sequences processed
2016/9/30 19:19:22 -- # 5100000 sequences processed
2016/9/30 19:19:23 -- # 5200000 sequences processed
2016/9/30 19:19:25 -- # 5300000 sequences processed
2016/9/30 19:19:25 -- # 5400000 sequences processed
2016/9/30 19:19:25 -- # 5500000 sequences processed
2016/9/30 19:19:25 -- # 5600000 sequences processed
2016/9/30 19:19:25 -- # 5700000 sequences processed
2016/9/30 19:19:25 -- # 5800000 sequences processed
2016/9/30 19:19:25 -- # 5900000 sequences processed
2016/9/30 19:19:26 -- # 6000000 sequences processed
2016/9/30 19:19:28 -- # 6100000 sequences processed
2016/9/30 19:19:28 -- # 6200000 sequences processed
2016/9/30 19:19:28 -- # 6300000 sequences processed
2016/9/30 19:19:28 -- # 6400000 sequences processed
2016/9/30 19:19:29 -- # 6500000 sequences processed
2016/9/30 19:19:29 -- # 6600000 sequences processed
2016/9/30 19:19:32 -- # 6700000 sequences processed
2016/9/30 19:19:32 -- # 6800000 sequences processed
2016/9/30 19:19:32 -- # 6900000 sequences processed
2016/9/30 19:19:33 -- # 7000000 sequences processed
2016/9/30 19:19:33 -- # 7100000 sequences processed
2016/9/30 19:19:33 -- # 7200000 sequences processed
2016/9/30 19:19:33 -- # 7300000 sequences processed
2016/9/30 19:19:33 -- # 7400000 sequences processed
2016/9/30 19:19:33 -- # 7500000 sequences processed
2016/9/30 19:19:34 -- # 7600000 sequences processed
2016/9/30 19:19:34 -- # 7700000 sequences processed
2016/9/30 19:19:35 -- # 7800000 sequences processed
2016/9/30 19:19:35 -- # 7900000 sequences processed
2016/9/30 19:19:35 -- # 8000000 sequences processed
2016/9/30 19:19:35 -- # 8100000 sequences processed
2016/9/30 19:19:36 -- # 8200000 sequences processed
2016/9/30 19:19:38 -- # 8300000 sequences processed
2016/9/30 19:19:40 -- # 8400000 sequences processed
2016/9/30 19:19:40 -- # 8500000 sequences processed
2016/9/30 19:19:40 -- # 8600000 sequences processed
2016/9/30 19:19:40 -- # 8700000 sequences processed
2016/9/30 19:19:40 -- # 8800000 sequences processed
2016/9/30 19:19:40 -- # 8900000 sequences processed
2016/9/30 19:19:40 -- # 9000000 sequences processed
2016/9/30 19:19:40 -- # 9100000 sequences processed
2016/9/30 19:19:40 -- # 9200000 sequences processed
2016/9/30 19:19:41 -- # 9300000 sequences processed
2016/9/30 19:19:42 -- # 9400000 sequences processed
2016/9/30 19:19:42 -- # 9500000 sequences processed
2016/9/30 19:19:42 -- # 9600000 sequences processed
2016/9/30 19:19:45 -- # 9700000 sequences processed
2016/9/30 19:19:47 -- # 9800000 sequences processed
2016/9/30 19:19:47 -- # 9900000 sequences processed
2016/9/30 19:19:47 -- # 10000000 sequences processed
2016/9/30 19:19:47 -- # 10100000 sequences processed
2016/9/30 19:19:47 -- # 10200000 sequences processed
2016/9/30 19:19:48 -- # 10300000 sequences processed
2016/9/30 19:19:48 -- # 10400000 sequences processed
2016/9/30 19:19:48 -- # 10500000 sequences processed
2016/9/30 19:19:48 -- # 10600000 sequences processed
2016/9/30 19:19:48 -- # 10700000 sequences processed
2016/9/30 19:19:48 -- # 10800000 sequences processed
2016/9/30 19:19:48 -- # 10900000 sequences processed
2016/9/30 19:19:48 -- # 11000000 sequences processed
2016/9/30 19:19:48 -- # 11100000 sequences processed
2016/9/30 19:19:50 -- # 11200000 sequences processed
2016/9/30 19:19:50 -- # 11300000 sequences processed
2016/9/30 19:19:51 -- # 11400000 sequences processed
2016/9/30 19:19:51 -- # 11500000 sequences processed
2016/9/30 19:19:51 -- # 11600000 sequences processed
2016/9/30 19:19:51 -- # 11700000 sequences processed
2016/9/30 19:19:51 -- # 11800000 sequences processed
2016/9/30 19:19:51 -- # 11900000 sequences processed
2016/9/30 19:19:51 -- Total 11945249 sequences processed... done
2016/9/30 19:19:51 -- [GEMMapper terminated successfully in 58s. (+10s. loading)]


